Day,Time,Truck,Location,Pinpoint,Hours,Management,Notes,Link,x,y,ObjectId
Thursday,Lunch,Bacon Truck,Belvidere Street,between Dalton Street and Huntington Ave,11 a.m. - 3 p.m.,City of Boston,,http://www.bostonbacontruck.com/menu.html,-71.08279787,42.34584618,1
Thursday,Lunch,Moyzilla,Belvidere Street,between Dalton St. and Huntington Ave.,11 a.m. - 3 p.m.,City of Boston,,http://www.moyzillaboston.com/,-71.08279787,42.34584618,2
Tuesday,Lunch,Kowloon,Belvidere Street,between Dalton St. and Huntington Ave.,11 a.m. - 3 p.m.,City of Boston,,https://www.kowloonrestaurant.com/,-71.08279787,42.34584618,3
Tuesday,Lunch,Walloons,Belvidere Street,between Dalton St. and Huntington Ave.,11 a.m. - 3 p.m.,City of Boston,,https://twitter.com/eatwalloons?lang=en,-71.08279787,42.34584618,4
Wednesday,Lunch,Revelry,Belvidere Street,between Dalton St. and Huntington Ave.,11 a.m. - 3 p.m.,City of Boston,,http://www.revelryboston.com/,-71.08279787,42.34584618,5
Wednesday,Lunch,Say Pão de Queijo,Belvidere Street,between Dalton St. and Huntington Ave.,11 a.m. - 3 p.m.,City of Boston,,https://saypao.com/,-71.08279787,42.34584618,6
Friday,Lunch,Sate Grill (Momogoose),Boston Medical Center,Harrison Avenue,11 a.m. - 3 p.m.,City of Boston,,http://sategrill.com/sate-grill-on-wheels/,-71.07309202,42.33668583,7
Friday,Lunch,Taco Don Beto,Boston Medical Center,Harrison Avenue,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/foodtrucktacosdonbeto/,-71.07309202,42.33668583,8
Monday,Lunch,Mediterranean Home Cooking,Boston Medical Center,Harrison Avenue,11 a.m. - 3 p.m.,City of Boston,,,-71.07309202,42.33668583,9
Monday,Lunch,Taco Don Beto,Boston Medical Center,Harrison Avenue,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/foodtrucktacosdonbeto/,-71.07309202,42.33668583,10
Thursday,Lunch,Maria’s Taqueria,Boston Medical Center,Harrison Avenue,11 a.m. - 3 p.m.,City of Boston,,http://mariastaqueriaboston.com/,-71.07309202,42.33668583,11
Tuesday,Lunch,Moyzilla,Boston Medical Center,Harrison Avenue,11 a.m. - 3 p.m.,City of Boston,,http://www.moyzillaboston.com/,-71.07309202,42.33668583,12
Wednesday,Lunch,Sate Grill (Momogoose),Boston Medical Center,Harrison Avenue,11 a.m. - 3 p.m.,City of Boston,,http://sategrill.com/sate-grill-on-wheels/,-71.07309202,42.33668583,13
Wednesday,Lunch,IQ Cooking On Wheels,Boston Medical Center,Harrison Avenue,11 a.m. - 3 p.m.,City of Boston,,https://twitter.com/dragonrollgrill?lang=en,-71.07309202,42.33668583,14
Friday,Lunch,Chicken & Rice Guys,Boston Public Library,700 Boylston Street,11 a.m. - 3 p.m.,City of Boston,,,-71.07862409,42.3496776,15
Monday,Lunch,Say Pão de Queijo,Boston Public Library,700 Boylston Street,11 a.m. - 3 p.m.,City of Boston,,https://saypao.com/,-71.07862409,42.3496776,16
Wednesday,Lunch,Chicken & Rice Guys,Boston Public Library,700 Boylston Street,11 a.m. - 3 p.m.,City of Boston,,https://cnrguys.com/menu-and-locations/,-71.07862409,42.3496776,17
Tuesday,Lunch,Da Bomb,Boston Public Library,700 Boylston Street,11 a.m. - 3 p.m.,City of Boston,,,-71.07862409,42.3496776,18
Thursday,Lunch,Say Pao de Queijo,Boston Public Library,700 Boylston Street,11 a.m. - 3 p.m.,City of Boston,,,-71.07862409,42.3496776,19
Friday,Dinner,Kebabish,Boston University East,610 Commonwealth Ave.,3 p.m. - 8 p.m.,City of Boston,,https://www.facebook.com/Kebabish-food-truck-601417943540828/,-71.10084939,42.34912904,20
Monday,Dinner,Kebabish,Boston University East,610 Commonwealth Ave.,3 p.m. - 8 p.m.,City of Boston,,https://www.facebook.com/Kebabish-food-truck-601417943540828/,-71.10084939,42.34912904,21
Monday,Lunch,Teri Yummy,Boston University East,610 Commonwealth Ave.,11 a.m. - 3 p.m.,City of Boston,,,-71.10084939,42.34912904,22
Thursday,Lunch,Riceburg,Boston University East,610 Commonwealth Ave.,11 a.m. - 3 p.m.,City of Boston,,http://www.riceburg1.com/,-71.10084939,42.34912904,23
Thursday,Dinner,Zinneken's,Boston University East,610 Commonwealth Ave.,3 p.m. - 8 p.m.,City of Boston,,http://zinnekenswaffles.com/,-71.10084939,42.34912904,24
Tuesday,Dinner,Bon Me,Boston University East,610 Commonwealth Ave.,3 p.m. - 8 p.m.,City of Boston,,hhtp://www.bonmetruck.com/,-71.10084939,42.34912904,25
Tuesday,Lunch,The Dining Car,Boston University East,610 Commonwealth Ave.,11 a.m. - 3 p.m.,City of Boston,,http://diningcar.net/,-71.10084939,42.34912904,26
Wednesday,Dinner,Zinneken's,Boston University East,610 Commonwealth Ave.,3 p.m. - 8 p.m.,City of Boston,,http://zinnekenswaffles.com/,-71.10084939,42.34912904,27
Wednesday,Lunch,Zinneken's,Boston University East,610 Commonwealth Ave.,11 a.m. - 3 p.m.,City of Boston,,http://zinnekenswaffles.com/,-71.10084939,42.34912904,28
Friday,Lunch,Clyde's Cupcakes,Boston University East,610 Commonwealth Ave.,11 a.m. - 3 p.m.,City of Boston,,https://clydescupcakes.com/our-dessert-trucks/,-71.10084939,42.34912904,29
Wednesday,Lunch,Mediterranean Home Cooking,Charlestown Navy Yard,"near USS Constitution Museum, tier 2",11 a.m. - 3 p.m.,City of Boston,,http://mediterraneanhome.cooking/,-71.05460142,42.37468544,30
Friday,Lunch,Across The Border,City Hall Plaza,Fisher Park,11 a.m. - 3 p.m.,City of Boston,,https://www.boston.gov/departments/small-business-development/city-boston-food-trucks-schedule,-71.05738756,42.35971739,31
Friday,Lunch,Bacon Truck,City Hall Plaza,Fisher Park,11 a.m. - 3 p.m.,City of Boston,,http://www.bostonbacontruck.com/menu.html,-71.05738756,42.35971739,32
Friday,Lunch,Walloons,City Hall Plaza,Fisher Park,11 a.m. - 3 p.m.,City of Boston,,https://twitter.com/eatwalloons?lang=en,-71.05738756,42.35971739,33
Monday,Lunch,Maria’s Taqueria,City Hall Plaza,Fisher Park,11 a.m. - 3 p.m.,City of Boston,,http://mariastaqueriaboston.com/,-71.05738756,42.35971739,34
